InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month
580351,23494,VINTAGE DOILY DELUXE SEWING KIT ,3,2011-12-02 15:55:00,5.95,12962.0,United Kingdom,17.85,2011-12
558632,22420,LIPSTICK PEN BABY PINK,24,2011-06-30 18:44:00,0.42,17930.0,United Kingdom,10.08,2011-06
549425,23009,I LOVE LONDON BABY GIFT SET,1,2011-04-08 11:54:00,16.95,14030.0,United Kingdom,16.95,2011-04
566195,23285,PINK VINTAGE SPOT BEAKER,16,2011-09-09 13:44:00,0.85,12433.0,Norway,13.6,2011-09
573485,21479,WHITE SKULL HOT WATER BOTTLE ,2,2011-10-31 11:37:00,4.25,15752.0,United Kingdom,8.5,2011-10
566271,22906,12 MESSAGE CARDS WITH ENVELOPES,12,2011-09-11 13:44:00,1.65,14250.0,United Kingdom,19.799999999999997,2011-09
580999,22624,IVORY KITCHEN SCALES,1,2011-12-06 17:49:00,8.5,17883.0,United Kingdom,8.5,2011-12
556473,21533,RETROSPOT LARGE MILK JUG,2,2011-06-12 12:00:00,4.95,17265.0,United Kingdom,9.9,2011-06
549258,22977,DOLLY GIRL CHILDRENS EGG CUP,12,2011-04-07 12:30:00,1.25,13102.0,United Kingdom,15.0,2011-04
574589,23266,SET OF 3 WOODEN STOCKING DECORATION,3,2011-11-06 10:33:00,1.25,15017.0,United Kingdom,3.75,2011-11
572309,23490,T-LIGHT HOLDER HANGING LOVE BIRD,2,2011-10-23 15:29:00,3.75,14432.0,United Kingdom,7.5,2011-10
560368,22999,TRAVEL CARD WALLET VINTAGE LEAF,10,2011-07-18 12:25:00,0.42,17841.0,United Kingdom,4.2,2011-07
560989,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-07-22 13:20:00,0.95,15704.0,United Kingdom,0.95,2011-07
578829,23106,ZINC HEARTS PLANT POT HOLDER,1,2011-11-25 14:53:00,2.89,14710.0,United Kingdom,2.89,2011-11
572751,23126,FELTCRAFT GIRL AMELIE KIT,4,2011-10-25 17:21:00,4.95,17449.0,United Kingdom,19.8,2011-10
572669,23129,HEART SHAPED HOLLY WREATH,1,2011-10-25 13:10:00,4.15,16549.0,United Kingdom,4.15,2011-10
577859,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-11-22 11:24:00,2.08,14534.0,United Kingdom,20.8,2011-11
543812,85049A,TRADITIONAL CHRISTMAS RIBBONS,1,2011-02-13 14:40:00,1.25,17472.0,United Kingdom,1.25,2011-02
576784,20828,GLITTER BUTTERFLY CLIPS,4,2011-11-16 13:40:00,2.55,16204.0,United Kingdom,10.2,2011-11
566273,22617,BAKING SET SPACEBOY DESIGN,3,2011-09-11 13:56:00,4.95,14720.0,United Kingdom,14.850000000000001,2011-09
544339,22083,PAPER CHAIN KIT RETROSPOT,40,2011-02-18 09:04:00,2.55,15228.0,United Kingdom,102.0,2011-02
540179,22725,ALARM CLOCK BAKELIKE CHOCOLATE,2,2011-01-05 12:54:00,3.75,16033.0,United Kingdom,7.5,2011-01
560270,22672,FRENCH BATHROOM SIGN BLUE METAL,6,2011-07-17 14:42:00,1.65,16744.0,United Kingdom,9.899999999999999,2011-07
564335,21900,"KEY FOB , SHED",4,2011-08-24 14:23:00,0.65,15800.0,United Kingdom,2.6,2011-08
573748,22940,FELTCRAFT CHRISTMAS FAIRY,4,2011-11-01 09:24:00,4.25,14911.0,EIRE,17.0,2011-11
537199,84991,60 TEATIME FAIRY CAKE CASES,1,2010-12-05 14:06:00,0.55,15894.0,United Kingdom,0.55,2010-12
554281,22767,TRIPLE PHOTO FRAME CORNICE ,2,2011-05-23 13:41:00,9.95,18160.0,United Kingdom,19.9,2011-05
572810,23491,VINTAGE JINGLE BELLS HEART,2,2011-10-26 11:08:00,8.25,13644.0,United Kingdom,16.5,2011-10
577812,22469,HEART OF WICKER SMALL,12,2011-11-22 08:56:00,1.65,16956.0,United Kingdom,19.799999999999997,2011-11
537605,84692,BOX OF 24 COCKTAIL PARASOLS,2,2010-12-07 13:13:00,0.42,16221.0,United Kingdom,0.84,2010-12
539250,22390,PAPERWEIGHT CHILDHOOD MEMORIES,12,2010-12-16 13:44:00,0.85,15157.0,United Kingdom,10.2,2010-12
542408,21717,EASTER TIN BUCKET,5,2011-01-27 16:29:00,2.55,13280.0,United Kingdom,12.75,2011-01
542433,21912,VINTAGE SNAKES & LADDERS,4,2011-01-28 10:45:00,3.75,12726.0,France,15.0,2011-01
569025,22916,HERB MARKER THYME,1,2011-09-30 10:08:00,0.65,18041.0,United Kingdom,0.65,2011-09
555853,20984,12 PENCILS TALL TUBE POSY,7,2011-06-07 13:44:00,0.29,14375.0,United Kingdom,2.03,2011-06
551193,20725,LUNCH BAG RED RETROSPOT,2,2011-04-27 11:05:00,1.65,17954.0,United Kingdom,3.3,2011-04
578510,85099B,JUMBO BAG RED RETROSPOT,2,2011-11-24 13:25:00,2.08,14056.0,United Kingdom,4.16,2011-11
558709,22628,PICNIC BOXES SET OF 3 RETROSPOT ,1,2011-07-01 13:02:00,4.95,17338.0,United Kingdom,4.95,2011-07
547867,21901,"KEY FOB , BACK DOOR ",10,2011-03-27 13:56:00,0.65,13357.0,United Kingdom,6.5,2011-03
560251,23322,LARGE WHITE HEART OF WICKER,2,2011-07-17 12:32:00,2.95,17774.0,United Kingdom,5.9,2011-07
573814,22983,CARD BILLBOARD FONT,12,2011-11-01 11:31:00,0.42,13268.0,United Kingdom,5.04,2011-11
572196,23541,WALL ART CLASSIC PUDDINGS ,120,2011-10-21 11:54:00,6.67,18102.0,United Kingdom,800.4,2011-10
576181,23320,GIANT 50'S CHRISTMAS CRACKER,5,2011-11-14 11:19:00,2.89,15572.0,United Kingdom,14.450000000000001,2011-11
558099,23067,HANGING ENGRAVED METAL HEART,4,2011-06-26 13:45:00,4.15,17593.0,United Kingdom,16.6,2011-06
552658,21557,SET OF 6 FUNKY BEAKERS,1,2011-05-10 14:57:00,2.95,14534.0,United Kingdom,2.95,2011-05
545053,22750,FELTCRAFT PRINCESS LOLA DOLL,1,2011-02-27 12:41:00,3.75,17516.0,United Kingdom,3.75,2011-02
573029,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2011-10-27 13:33:00,2.1,14971.0,United Kingdom,4.2,2011-10
552278,22914,BLUE COAT RACK PARIS FASHION,1,2011-05-08 12:36:00,4.95,15059.0,United Kingdom,4.95,2011-05
569849,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,2011-10-06 13:49:00,1.65,15264.0,United Kingdom,19.799999999999997,2011-10
569803,23542,WALL ART 70'S ALPHABET ,2,2011-10-06 11:48:00,8.25,13090.0,United Kingdom,16.5,2011-10
571857,23356,LOVE HOT WATER BOTTLE,3,2011-10-19 13:38:00,5.95,15468.0,United Kingdom,17.85,2011-10
575602,23581,JUMBO BAG PAISLEY PARK,2,2011-11-10 12:27:00,2.08,17059.0,United Kingdom,4.16,2011-11
563849,23158,SET OF 5 LUCKY CAT MAGNETS ,12,2011-08-19 15:04:00,2.08,14772.0,United Kingdom,24.96,2011-08
570232,84580,MOUSE TOY WITH PINK T-SHIRT,2,2011-10-09 13:58:00,3.75,14040.0,United Kingdom,7.5,2011-10
553423,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,1,2011-05-17 10:28:00,0.85,17811.0,United Kingdom,0.85,2011-05
559289,23231,WRAP DOILEY DESIGN,25,2011-07-07 12:22:00,0.42,15719.0,United Kingdom,10.5,2011-07
571201,22750,FELTCRAFT PRINCESS LOLA DOLL,12,2011-10-14 12:28:00,3.39,14937.0,Channel Islands,40.68,2011-10
576779,23296,SET OF 6 TEA TIME BAKING CASES,4,2011-11-16 13:25:00,1.25,14554.0,United Kingdom,5.0,2011-11
566732,23206,LUNCH BAG APPLE DESIGN,10,2011-09-14 13:42:00,1.65,17716.0,United Kingdom,16.5,2011-09
566673,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2011-09-14 11:39:00,1.45,17728.0,United Kingdom,17.4,2011-09
548740,21877,HOME SWEET HOME MUG,12,2011-04-04 11:34:00,1.25,13319.0,United Kingdom,15.0,2011-04
575708,23084,RABBIT NIGHT LIGHT,6,2011-11-10 17:17:00,2.08,13460.0,United Kingdom,12.48,2011-11
575623,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,24,2011-11-10 13:14:00,1.25,14064.0,United Kingdom,30.0,2011-11
579692,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,24,2011-11-30 14:05:00,1.45,12433.0,Norway,34.8,2011-11
545656,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,2011-03-04 13:58:00,8.25,14057.0,United Kingdom,16.5,2011-03
579131,20719,WOODLAND CHARLOTTE BAG,30,2011-11-28 12:33:00,0.85,12839.0,United Kingdom,25.5,2011-11
568191,84050,PINK HEART SHAPE EGG FRYING PAN,2,2011-09-25 14:37:00,1.65,16655.0,United Kingdom,3.3,2011-09
579414,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2011-11-29 12:52:00,0.55,14719.0,United Kingdom,1.1,2011-11
569524,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,1,2011-10-04 14:42:00,0.29,14506.0,United Kingdom,0.29,2011-10
566962,21462,"NURSERY A,B,C PAINTED LETTERS",1,2011-09-15 17:07:00,6.75,16764.0,United Kingdom,6.75,2011-09
578677,21703,BAG 125g SWIRLY MARBLES,4,2011-11-24 19:30:00,0.42,15750.0,United Kingdom,1.68,2011-11
558643,23200,JUMBO BAG PEARS,20,2011-07-01 09:51:00,2.08,13534.0,United Kingdom,41.6,2011-07
575063,22382,LUNCH BAG SPACEBOY DESIGN ,2,2011-11-08 12:32:00,1.65,16764.0,United Kingdom,3.3,2011-11
580140,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,12,2011-12-02 09:19:00,1.45,14895.0,United Kingdom,17.4,2011-12
564165,23332,IVORY WICKER HEART LARGE,12,2011-08-23 13:35:00,1.65,13593.0,United Kingdom,19.799999999999997,2011-08
555240,22316,200 BENDY SKULL STRAWS,2,2011-06-01 13:07:00,1.25,15039.0,United Kingdom,2.5,2011-06
548987,22283,6 EGG HOUSE PAINTED WOOD,1,2011-04-05 12:50:00,7.95,14535.0,United Kingdom,7.95,2011-04
545023,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-02-25 14:25:00,2.95,12921.0,United Kingdom,17.700000000000003,2011-02
570881,21484,CHICK GREY HOT WATER BOTTLE,4,2011-10-13 09:30:00,4.25,12498.0,Germany,17.0,2011-10
541711,21094,SET/6 RED SPOTTY PAPER PLATES,96,2011-01-21 11:18:00,0.64,14646.0,Netherlands,61.44,2011-01
567156,35971,ROSE FOLKART HEART DECORATIONS,2,2011-09-16 17:05:00,1.25,14462.0,United Kingdom,2.5,2011-09
551529,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-05-01 13:18:00,2.1,12524.0,Germany,12.600000000000001,2011-05
574695,22795,SWEETHEART RECIPE BOOK STAND,1,2011-11-06 13:37:00,6.75,17114.0,United Kingdom,6.75,2011-11
536634,20727,LUNCH BAG  BLACK SKULL.,20,2010-12-02 11:21:00,1.65,18041.0,United Kingdom,33.0,2010-12
568094,23266,SET OF 3 WOODEN STOCKING DECORATION,12,2011-09-23 14:43:00,1.25,15807.0,United Kingdom,15.0,2011-09
574269,23403,LETTER HOLDER HOME SWEET HOME,4,2011-11-03 14:27:00,3.75,15570.0,United Kingdom,15.0,2011-11
575728,22650,CERAMIC PIRATE CHEST MONEY BANK,12,2011-11-10 19:40:00,1.45,14911.0,EIRE,17.4,2011-11
557786,22662,LUNCH BAG DOLLY GIRL DESIGN,4,2011-06-22 16:01:00,1.65,15550.0,United Kingdom,6.6,2011-06
572744,85216,ASSORTED CAKES FRIDGE MAGNETS,6,2011-10-25 16:14:00,0.65,14085.0,United Kingdom,3.9000000000000004,2011-10
579940,23547,WRAP FLOWER SHOP  ,25,2011-12-01 10:20:00,0.42,16938.0,United Kingdom,10.5,2011-12
558100,21500,PINK POLKADOT WRAP ,25,2011-06-26 13:46:00,0.42,17768.0,United Kingdom,10.5,2011-06
541570,21928,JUMBO BAG SCANDINAVIAN PAISLEY,100,2011-01-19 12:34:00,1.65,14646.0,Netherlands,165.0,2011-01
553208,23084,RABBIT NIGHT LIGHT,6,2011-05-16 09:10:00,2.08,12674.0,France,12.48,2011-05
559715,21544,SKULLS  WATER TRANSFER TATTOOS ,24,2011-07-12 10:47:00,0.85,14132.0,United Kingdom,20.4,2011-07
553179,21916,SET 12 RETRO WHITE CHALK STICKS,4,2011-05-15 11:30:00,0.42,15440.0,United Kingdom,1.68,2011-05
569403,23298,SPOTTY BUNTING,3,2011-10-04 09:02:00,4.95,13319.0,United Kingdom,14.850000000000001,2011-10
574466,23337,EGG FRYING PAN MINT ,6,2011-11-04 11:53:00,2.08,18172.0,United Kingdom,12.48,2011-11
576704,21245,GREEN POLKADOT PLATE ,1,2011-11-16 12:29:00,1.69,14527.0,United Kingdom,1.69,2011-11
581188,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-12-07 16:47:00,0.55,17735.0,United Kingdom,13.200000000000001,2011-12
565388,23202,JUMBO BAG VINTAGE LEAF,5,2011-09-02 15:56:00,2.08,14415.0,United Kingdom,10.4,2011-09
552959,22345,PARTY PIZZA DISH BLUE POLKADOT,6,2011-05-12 12:53:00,0.85,12748.0,United Kingdom,5.1,2011-05
574700,21351,CINAMMON & ORANGE WREATH,2,2011-11-06 13:53:00,6.75,16033.0,United Kingdom,13.5,2011-11
570458,22617,BAKING SET SPACEBOY DESIGN,2,2011-10-10 15:39:00,4.95,14535.0,United Kingdom,9.9,2011-10
550290,22383,LUNCH BAG SUKI  DESIGN ,10,2011-04-15 14:45:00,1.65,15246.0,United Kingdom,16.5,2011-04
561259,22627,MINT KITCHEN SCALES,2,2011-07-26 12:04:00,8.5,12584.0,Italy,17.0,2011-07
557995,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,2011-06-24 10:44:00,0.85,17979.0,United Kingdom,1.7,2011-06
568094,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-09-23 14:43:00,3.75,15807.0,United Kingdom,15.0,2011-09
559544,22085,PAPER CHAIN KIT SKULLS ,1,2011-07-10 13:52:00,2.95,17126.0,United Kingdom,2.95,2011-07
555393,23065,LARGE DECO JEWELLERY STAND,1,2011-06-02 17:00:00,12.5,14221.0,United Kingdom,12.5,2011-06
544461,22678,FRENCH BLUE METAL DOOR SIGN 3,20,2011-02-20 14:08:00,1.25,13744.0,United Kingdom,25.0,2011-02
555492,22522,CHILDS GARDEN FORK BLUE ,12,2011-06-03 14:24:00,0.85,16967.0,United Kingdom,10.2,2011-06
546851,21481,FAWN BLUE HOT WATER BOTTLE,6,2011-03-17 13:23:00,2.95,12480.0,Germany,17.700000000000003,2011-03
579792,22601,CHRISTMAS RETROSPOT ANGEL WOOD,24,2011-11-30 15:43:00,0.85,12714.0,France,20.4,2011-11
536975,22560,TRADITIONAL MODELLING CLAY,24,2010-12-03 14:04:00,1.25,14911.0,EIRE,30.0,2010-12
578806,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-11-25 13:09:00,0.29,13149.0,United Kingdom,6.959999999999999,2011-11
572986,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2011-10-27 10:51:00,0.39,12681.0,France,9.36,2011-10
556056,15060B,FAIRY CAKE DESIGN UMBRELLA,1,2011-06-08 13:35:00,3.75,17841.0,United Kingdom,3.75,2011-06
561877,20727,LUNCH BAG  BLACK SKULL.,10,2011-07-31 12:16:00,1.65,16401.0,United Kingdom,16.5,2011-07
544339,22980,PANTRY SCRUBBING BRUSH,12,2011-02-18 09:04:00,1.65,15228.0,United Kingdom,19.799999999999997,2011-02
566624,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-09-14 09:36:00,0.85,17315.0,United Kingdom,10.2,2011-09
557942,22423,REGENCY CAKESTAND 3 TIER,2,2011-06-23 16:02:00,12.75,13725.0,United Kingdom,25.5,2011-06
562101,22728,ALARM CLOCK BAKELIKE PINK,4,2011-08-02 14:04:00,3.75,13850.0,United Kingdom,15.0,2011-08
577498,20754,RETROSPOT RED WASHING UP GLOVES,1,2011-11-20 12:22:00,2.1,15906.0,United Kingdom,2.1,2011-11
571318,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,240,2011-10-17 10:50:00,0.42,17404.0,Sweden,100.8,2011-10
539041,21832,CHOCOLATE CALCULATOR,4,2010-12-15 15:34:00,1.65,15456.0,United Kingdom,6.6,2010-12
540469,22835,HOT WATER BOTTLE I AM SO POORLY,2,2011-01-07 14:04:00,4.65,12484.0,Spain,9.3,2011-01
545690,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,2011-03-06 12:46:00,2.95,13263.0,United Kingdom,2.95,2011-03
536874,79067,CORONA MEXICAN TRAY,1,2010-12-03 11:35:00,3.75,16891.0,United Kingdom,3.75,2010-12
574328,20829,GLITTER HANGING BUTTERFLY STRING,16,2011-11-04 09:05:00,2.1,13081.0,United Kingdom,33.6,2011-11
566234,21390,FILIGRIS HEART WITH BUTTERFLY,2,2011-09-11 11:08:00,1.25,15035.0,United Kingdom,2.5,2011-09
574328,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,48,2011-11-04 09:05:00,0.29,13081.0,United Kingdom,13.919999999999998,2011-11
538995,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2010-12-15 12:05:00,0.95,13458.0,United Kingdom,22.799999999999997,2010-12
550834,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2011-04-21 10:51:00,4.25,14730.0,United Kingdom,4.25,2011-04
541281,21397,BLUE POLKADOT EGG CUP ,1,2011-01-17 11:59:00,1.25,17988.0,United Kingdom,1.25,2011-01
576463,21506,"FANCY FONT BIRTHDAY CARD, ",12,2011-11-15 11:37:00,0.42,17974.0,United Kingdom,5.04,2011-11
570388,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-10-10 12:37:00,1.25,14911.0,EIRE,15.0,2011-10
543116,84991,60 TEATIME FAIRY CAKE CASES,24,2011-02-03 13:29:00,0.55,17672.0,United Kingdom,13.200000000000001,2011-02
553348,22524,CHILDRENS GARDEN GLOVES BLUE,12,2011-05-16 13:20:00,1.25,14911.0,EIRE,15.0,2011-05
574445,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,18,2011-11-04 11:41:00,1.25,15722.0,United Kingdom,22.5,2011-11
549844,22212,FOUR HOOK  WHITE LOVEBIRDS,4,2011-04-12 14:17:00,2.1,12854.0,United Kingdom,8.4,2011-04
572528,21485,RETROSPOT HEART HOT WATER BOTTLE,1,2011-10-24 15:43:00,4.95,13176.0,United Kingdom,4.95,2011-10
542745,21468,BUTTERFLY CROCHET FOOD COVER,1,2011-01-31 16:47:00,3.75,15881.0,United Kingdom,3.75,2011-01
562960,35967,FOLK ART METAL STAR T-LIGHT HOLDER,12,2011-08-11 10:22:00,0.38,14911.0,EIRE,4.5600000000000005,2011-08
547705,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,2011-03-24 18:20:00,3.95,14056.0,United Kingdom,3.95,2011-03
566495,23373,VINTAGE CHRISTMAS PAPER GIFT BAG,20,2011-09-13 11:14:00,0.82,15529.0,United Kingdom,16.4,2011-09
536804,22065,CHRISTMAS PUDDING TRINKET POT ,10,2010-12-02 16:34:00,1.45,14031.0,United Kingdom,14.5,2010-12
569046,23321,SMALL WHITE HEART OF WICKER,24,2011-09-30 10:48:00,1.65,14422.0,United Kingdom,39.599999999999994,2011-09
565865,22940,FELTCRAFT CHRISTMAS FAIRY,8,2011-09-07 15:07:00,4.25,12637.0,France,34.0,2011-09
565388,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2,2011-09-02 15:56:00,3.29,14415.0,United Kingdom,6.58,2011-09
561106,21888,BINGO SET,4,2011-07-25 11:37:00,3.75,14246.0,United Kingdom,15.0,2011-07
571062,51014C,"FEATHER PEN,COAL BLACK",60,2011-10-13 14:37:00,0.39,16773.0,United Kingdom,23.400000000000002,2011-10
578292,21485,RETROSPOT HEART HOT WATER BOTTLE,2,2011-11-23 14:35:00,4.95,13174.0,United Kingdom,9.9,2011-11
576860,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,9,2011-11-16 15:58:00,0.39,17602.0,United Kingdom,3.5100000000000002,2011-11
559143,22523,CHILDS GARDEN FORK PINK,1,2011-07-06 14:04:00,0.85,15581.0,United Kingdom,0.85,2011-07
540240,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2011-01-05 15:09:00,7.95,17585.0,United Kingdom,31.8,2011-01
566734,22620,4 TRADITIONAL SPINNING TOPS,1,2011-09-14 14:09:00,1.45,16910.0,United Kingdom,1.45,2011-09
567697,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-09-22 08:41:00,4.95,16558.0,United Kingdom,14.850000000000001,2011-09
569082,22960,JAM MAKING SET WITH JARS,12,2011-09-30 11:55:00,3.75,18229.0,United Kingdom,45.0,2011-09
551721,21272,SALLE DE BAIN HOOK,2,2011-05-03 16:49:00,1.25,14711.0,United Kingdom,2.5,2011-05
565328,22192,BLUE DINER WALL CLOCK,4,2011-09-02 13:50:00,8.5,14004.0,United Kingdom,34.0,2011-09
557626,22672,FRENCH BATHROOM SIGN BLUE METAL,12,2011-06-21 14:29:00,1.65,14175.0,United Kingdom,19.799999999999997,2011-06
540644,21868,POTTING SHED TEA MUG,24,2011-01-10 14:16:00,1.25,16303.0,United Kingdom,30.0,2011-01
537054,20971,PINK BLUE FELT CRAFT TRINKET BOX,2,2010-12-05 11:40:00,1.25,16931.0,United Kingdom,2.5,2010-12
565420,48188,DOORMAT WELCOME PUPPIES,2,2011-09-04 12:09:00,8.25,16326.0,United Kingdom,16.5,2011-09
558524,22580,ADVENT CALENDAR GINGHAM SACK,1,2011-06-30 10:52:00,5.95,13113.0,United Kingdom,5.95,2011-06
569741,22768,FAMILY PHOTO FRAME CORNICE,2,2011-10-06 10:52:00,9.95,14626.0,United Kingdom,19.9,2011-10
568060,23172,REGENCY TEA PLATE PINK,2,2011-09-23 13:11:00,1.65,14546.0,United Kingdom,3.3,2011-09
580727,22695,WICKER WREATH SMALL,2,2011-12-05 17:17:00,3.29,14096.0,United Kingdom,6.58,2011-12
569848,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-10-06 13:48:00,2.95,16316.0,United Kingdom,17.700000000000003,2011-10
577721,23489,VINTAGE BELLS GARLAND,5,2011-11-21 12:24:00,2.89,13167.0,United Kingdom,14.450000000000001,2011-11
570856,22728,ALARM CLOCK BAKELIKE PINK,4,2011-10-12 15:01:00,3.75,13464.0,United Kingdom,15.0,2011-10
538507,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2010-12-12 13:26:00,0.65,15547.0,United Kingdom,5.2,2010-12
547501,23127,DOLLCRAFT GIRL NICOLE,12,2011-03-23 12:41:00,4.95,13408.0,United Kingdom,59.400000000000006,2011-03
565434,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,10,2011-09-04 13:35:00,0.55,12867.0,United Kingdom,5.5,2011-09
